actual_sex	Rx	Ry
male	0.4349	0.1818
male	0.434	0.1111
male	0.4335	0.3
male	0.4333	0.3333
male	0.4332	0.1282
male	0.4331	0.1275
male	0.433	0.2222
male	0.4324	0.2727
male	0.4322	0.1818
male	0.4321	0.1765
male	0.432	0.1905
male	0.4317	0.2857
male	0.4315	0.3636
male	0.4312	0.1667
male	0.4307	0.1667
male	0.4303	0.3636
male	0.4301	0.125
male	0.4301	0.2045
male	0.4289	0.1765
male	0.4277	0.1188
male	0.4273	0.1111
male	0.4266	0.1176
male	0.4256	0.0769
male	0.4253	0.1429
male	0.4247	0.1176
male	0.4241	0.2727
male	0.4237	0.2222
male	0.423	0.2353
male	0.4226	0.0667
male	0.4224	0.0588
male	0.4222	0.125
male	0.4221	0.1026
male	0.4216	0.125
male	0.4211	0.186
male	0.4205	0.0667
male	0.4204	0.1667
male	0.42	0.0556
male	0.4194	0.1429
male	0.4182	0.0556
male	0.4178	0.2222
male	0.4178	0.2222
male	0.4172	0.1176
male	0.4168	0.0625
male	0.4167	0.1667
male	0.4165	0.2222
male	0.4164	0.1493
male	0.4156	0.25
male	0.4154	0.1176
male	0.415	0.0761
male	0.4149	0.1111
male	0.4143	0.1667
male	0.4136	0.0769
male	0.4133	0.2941
male	0.4117	0.2222
male	0.4105	0.2941
male	0.4095	0.1282
male	0.4094	0.2222
male	0.4087	0.1316
male	0.4082	0.3333
male	0.408	0.2105
male	0.4072	0.1282
male	0.4058	0.2
male	0.4055	0.1429
male	0.4051	0.2353
male	0.4048	0.0588
male	0.4043	0.3158
male	0.4027	0.2
male	0.3982	0.1538
male	0.3967	0.1667
male	0.3964	0.2195
male	0.3962	0.25
male	0.3957	0.1538
male	0.3953	0.1333
male	0.3953	0.1429
male	0.3953	0.2
male	0.3939	0.2353
male	0.3935	0.2353
male	0.3919	0.1333
male	0.3914	0.2667
male	0.3912	0.1667
male	0.3912	0.2857
male	0.39	0.1176
male	0.3897	0.1579
male	0.3894	0.1429
male	0.3888	0.0667
male	0.3888	0.1429
male	0.3881	0.1622
male	0.3879	0.2105
male	0.3858	0.25
male	0.3853	0.25
male	0.3843	0.0833
male	0.3843	0.1429
male	0.384	0.1429
male	0.3839	0.1389
male	0.3835	0.2
male	0.3828	0.4
male	0.3826	0.1429
male	0.3819	0.2632
male	0.3804	0.1667
male	0.3792	0.1538
male	0.3788	0.2857
male	0.3776	0.25
male	0.3773	0.2667
male	0.3769	0.2105
male	0.3767	0.3571
male	0.3712	0.125
male	0.371	0.2105
male	0.3691	0.3333
male	0.3673	0.2308
male	0.3673	0.3333
male	0.3654	0.1667
male	0.3635	0.3077
male	0.3634	0.25
male	0.3621	0.1
male	0.3618	0.1667
male	0.361	0.2222
male	0.36	0.1538
male	0.3561	0.25
male	0.3557	0.2353
male	0.3552	0.1
male	0.3552	0.125
male	0.3549	0.2353
male	0.3542	0.1875
male	0.3539	0.1667
male	0.3511	0.2857
male	0.3479	0.25
male	0.3467	0.25
male	0.3458	0.1667
male	0.3443	0.25
male	0.343	0.1667
male	0.3421	0.2308
male	0.3395	0.25
male	0.3393	0.4
male	0.339	0.2222
